Products,Avg_Price_per_unit,Cost_per_unit,Average_Profit_per_unit,Average_units_sold,Incremental_acquisition,Increase_sale_volume
Product 1,95,92,2.8,0.6,0.0032300,0.0890600
Product 2,37,27,10,0.8,0.0010600,0.0199100
Product 3,34,26,8.5,0.6,0.0032800,0.0377800
Product 4,32,30,2.8,0.7,0.0000000,0.0856200
Product 5,62,45,16,1,0.0007900,0.0263700
Product 6,86,78,8.2,0.9,0.0000000,0.0185900
Product 7,105,77,28.1,1.9,0.0000000,0.0552700
Product 8,84,67,16.3,0.9,0.0028200,0.0672300
Product 9,69,53,16.5,1.8,0.0048400,0.0296300
Product 10,108,94,14.3,1,0.0000000,0.0381200
Product 11,84,75,9.4,0.6,0.0011100,0.0974900
Product 12,105,99,5.9,3,0.0000000,0.0376600
Product 13,32,29,2.4,0.2,0.0035100,0.0637400
Product 14,49,45,4.1,0.3,0.0003000,0.0068200
Product 15,68,53,15.6,2.1,0.0000000,0.0003700
Product 16,20,16,3.2,2.3,0.0021300,0.0076300
Product 17,105,88,17.6,2.3,0.0013200,0.0763400
Product 18,56,54,1.8,3,0.0033500,0.0685800
Product 19,98,72,26.5,0.2,0.0011100,0.0306700
Product 20,17,16,0.6,0.2,0.0027700,0.0891600
Product 21,47,39,8.1,0.5,0.0044500,0.0021600
Product 22,97,89,8,2.5,0.0026000,0.0439700
Product 23,35,31,3.3,0.3,0.0003000,0.0630100
Product 24,108,96,12.4,2.4,0.0000000,0.0690100
Product 25,47,43,3.6,2.9,0.0000000,0.0950900
Product 26,55,54,1.1,0.1,0.0000000,0.0456800
Product 27,91,69,22.3,1.5,0.0014700,0.0253800
Product 28,63,60,3.5,1.9,0.0031600,0.0552300
Product 29,41,39,2.3,1.2,0.0000000,0.0593000
Product 30,33,32,1.2,2.4,0.0020000,0.0006800
Product 31,75,68,6.9,1.6,0.0000000,0.0135700
Product 32,105,84,21.6,1.2,0.0049700,0.0966100
Product 33,20,18,2.2,1.1,0.0034100,0.0105500
Product 34,22,19,3,2.3,0.0002000,0.0138300
Product 35,47,33,14.1,0.8,0.0000000,0.0523600
Product 36,50,38,11.9,2.7,0.0000000,0.0790300
Product 37,51,36,14.5,0.6,0.0000000,0.0916100
Product 38,42,34,8.3,1.2,0.0000000,0.0678800
Product 39,39,29,10.3,0.3,0.0000000,0.0645700
Product 40,20,19,1,2,0.0000000,0.0852900
Product 41,108,85,23.7,1.2,0.0019300,0.0851800
Product 42,14,13,0.2,1.6,0.0001800,0.0813800
Product 43,110,104,6.2,1.2,0.0029900,0.0336000
Product 44,42,30,12.4,2.8,0.0036100,0.0873400
Product 45,46,43,2.2,3.1,0.0000000,0.0147600
Product 46,105,101,4.1,0.8,0.0020700,0.0444700
Product 47,47,47,0,3,0.0013400,0.0432100
